timestamp,V_batt,I_batt,T_batt,V_solar,I_solar,V_bus,I_bus,T_eps,SOC,anomaly_type,orbit_sunlight,P_batt,P_solar,P_bus,converter_ratio,charge_efficiency,delta_V_batt,delta_I_batt,delta_T_batt,delta_V_bus,delta_I_bus,delta_SOC,rolling_std_V_batt,rolling_mean_V_batt,rolling_std_I_batt,rolling_mean_I_batt,rolling_std_T_batt,rolling_mean_T_batt,V_batt_V_bus_ratio,power_balance
2025-10-22 18:37:42.670548,8.276,2.506,17.4,16.149,1.917,8.162,0.306,13.3,78.6,normal,True,20.739655999999997,30.957633,2.4975720000000003,0.505418292154313,0.6699367487171902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.276,0.0,2.506,0.0,17.4,1.013967164910561,7.720405000000005
2025-10-22 18:37:59.950548,8.07,2.254,15.4,15.911,1.415,7.943,0.305,13.5,64.9,normal,True,18.18978,22.514065,2.422615,0.49921437998868706,0.8079296208836565,-0.20599999999999952,-0.2519999999999998,-1.9999999999999982,-0.2190000000000012,-0.0010000000000000009,-13.699999999999989,0.14566399692442844,8.173,0.17819090885900982,2.38,1.4142135623730931,16.4,1.015988921062571,1.9016699999999997
2025-10-22 18:38:17.230548,8.017,1.16,16.2,16.807,0.741,7.967,0.317,13.5,63.2,normal,True,9.299719999999999,12.453987,2.5255389999999998,0.4740286785268043,0.7467263294878981,-0.053000000000000824,-1.094,0.7999999999999989,0.02400000000000002,0.01200000000000001,-1.7000000000000028,0.13682470537150832,8.121,0.7155482746351453,1.9733333333333334,1.006644591369432,16.333333333333332,1.0062758880381575,0.6287280000000011
2025-10-22 18:38:34.510548,8.214,1.537,16.0,17.006,0.971,8.129,0.324,12.9,73.8,normal,True,12.624918,16.512826,2.633796,0.4780077619663648,0.7645522335183571,0.19700000000000095,0.377,-0.1999999999999993,0.16199999999999992,0.007000000000000006,10.599999999999994,0.12100791985100284,8.14425,0.6236475366743622,1.86425,0.8386497083606071,16.25,1.0104563906999633,1.2541120000000014
2025-10-22 18:38:51.790548,8.095,1.754,15.8,17.508,1.048,8.034,0.329,12.3,68.1,normal,True,14.198630000000001,18.348384,2.6431860000000005,0.45887594242631946,0.7738354505770101,-0.11899999999999977,0.21700000000000008,-0.1999999999999993,-0.09499999999999886,0.0050000000000000044,-5.700000000000003,0.10708547987472448,8.1344,0.5423404834603442,1.8422,0.7536577472566698,16.16,1.0075927308937018,1.5065679999999975
2025-10-22 18:38:51.790548,8.521,2.296,15.6,15.699,1.857,7.785,0.338,6.3,56.6,batt_overvoltage,True,19.564216000000002,29.153043,2.63133,0.4958914580546532,0.6710865826253541,0.42600000000000016,0.5419999999999998,-0.20000000000000107,-0.24900000000000055,0.009000000000000008,-11.499999999999993,0.18461789367953169,8.198833333333333,0.5192580925384472,1.9178333333333333,0.7118052168020865,16.066666666666666,1.0945407835581247,6.957496999999998
2025-10-22 18:39:09.070548,8.146,1.367,15.0,15.189,0.981,8.067,0.332,12.1,69.4,normal,True,11.135582000000001,14.900409,2.6782440000000003,0.531108038712226,0.7473339825772569,-0.375,-0.9289999999999998,-0.5999999999999996,0.28200000000000003,-0.006000000000000005,12.800000000000004,0.16971123935056542,8.191285714285714,0.5177220710546758,1.839142857142857,0.7646972634722212,15.914285714285715,1.0097929837610018,1.0865829999999983
2025-10-22 18:39:26.350548,8.203,2.126,13.7,17.339,1.255,8.103,0.339,12.2,73.9,normal,True,17.439577999999997,21.760444999999997,2.7469170000000003,0.4673279889266971,0.8014348052165293,0.05699999999999861,0.7589999999999999,-1.3000000000000007,0.03599999999999959,0.007000000000000006,4.5,0.1571766522101808,8.19275,0.48992973257105227,1.875,1.0555127393154202,15.6375,1.0123411082315192,1.5739499999999995
2025-10-22 18:39:43.630548,8.075,1.306,13.6,15.218,0.943,8.001,0.357,12.6,65.4,normal,True,10.54595,14.350574,2.8563569999999996,0.5257589696412143,0.7348800124650066,-0.1280000000000001,-0.8199999999999998,-0.09999999999999964,-0.10200000000000031,0.01799999999999996,-8.5,0.1521742422356692,8.179666666666668,0.49598457077256386,1.811777777777778,1.198378534149836,15.41111111111111,1.009248843894513,0.9482670000000009
2025-10-22 18:40:00.910548,8.287,1.709,13.6,15.677,1.148,8.24,0.357,12.6,80.8,normal,True,14.162483000000002,17.997196,2.94168,0.5256107673662053,0.7869271968811143,0.21200000000000152,0.403,0.0,0.23900000000000077,0.0,15.399999999999991,0.14743149068107728,8.1904,0.4687468518412802,1.8015,1.2667105255564723,15.23,1.0057038834951457,0.8930329999999973
